Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
_0764_,1.1,2.932e-07,0.000e+00,2.268e-08,3.159e-07
_0765_,1.1,4.795e-07,0.000e+00,2.269e-08,5.022e-07
_0766_,1.1,1.319e-07,0.000e+00,2.072e-08,1.527e-07
_0767_,1.1,6.402e-07,0.000e+00,4.414e-08,6.843e-07
_0768_,1.1,3.210e-08,0.000e+00,4.171e-09,3.627e-08
_0769_,1.1,2.400e-07,0.000e+00,3.696e-08,2.769e-07
_0770_,1.1,1.319e-07,0.000e+00,2.072e-08,1.527e-07
_0771_,1.1,6.402e-07,0.000e+00,4.414e-08,6.843e-07
_0772_,1.1,3.210e-08,0.000e+00,4.171e-09,3.627e-08
_0773_,1.1,2.400e-07,0.000e+00,3.696e-08,2.769e-07
_0774_,1.1,1.319e-07,0.000e+00,2.072e-08,1.527e-07
_0775_,1.1,6.402e-07,0.000e+00,4.414e-08,6.843e-07
_0776_,1.1,3.210e-08,0.000e+00,4.171e-09,3.627e-08
_0777_,1.1,2.400e-07,0.000e+00,3.696e-08,2.769e-07
_0778_,1.1,1.319e-07,0.000e+00,2.072e-08,1.527e-07
_0779_,1.1,6.402e-07,0.000e+00,4.414e-08,6.843e-07
_0780_,1.1,3.210e-08,0.000e+00,4.171e-09,3.627e-08
_0781_,1.1,2.400e-07,0.000e+00,3.696e-08,2.769e-07
_0782_,1.1,1.319e-07,0.000e+00,2.072e-08,1.527e-07
_0783_,1.1,6.402e-07,0.000e+00,4.414e-08,6.843e-07
_0784_,1.1,3.210e-08,0.000e+00,4.171e-09,3.627e-08
_0785_,1.1,2.400e-07,0.000e+00,3.696e-08,2.769e-07
_0786_,1.1,4.529e-08,0.000e+00,1.309e-08,5.837e-08
_0787_,1.1,9.058e-09,0.000e+00,1.856e-08,2.762e-08
_0788_,1.1,1.953e-07,0.000e+00,2.011e-08,2.154e-07
_0789_,1.1,1.941e-07,0.000e+00,5.726e-08,2.513e-07
_0790_,1.1,4.827e-07,0.000e+00,2.172e-08,5.044e-07
_0791_,1.1,6.402e-07,0.000e+00,4.414e-08,6.843e-07
_0792_,1.1,3.210e-08,0.000e+00,4.171e-09,3.627e-08
_0793_,1.1,5.994e-07,0.000e+00,3.027e-08,6.296e-07
_0794_,1.1,4.827e-07,0.000e+00,2.172e-08,5.044e-07
_0795_,1.1,5.994e-07,0.000e+00,3.027e-08,6.296e-07
_0796_,1.1,4.827e-07,0.000e+00,2.172e-08,5.044e-07
_0797_,1.1,5.994e-07,0.000e+00,3.027e-08,6.296e-07
_0798_,1.1,4.827e-07,0.000e+00,2.172e-08,5.044e-07
_0799_,1.1,5.994e-07,0.000e+00,3.027e-08,6.296e-07
_0800_,1.1,4.827e-07,0.000e+00,2.172e-08,5.044e-07
_0801_,1.1,5.994e-07,0.000e+00,3.027e-08,6.296e-07
_0802_,1.1,4.827e-07,0.000e+00,2.172e-08,5.044e-07
_0803_,1.1,5.994e-07,0.000e+00,3.027e-08,6.296e-07
_0804_,1.1,8.827e-07,0.000e+00,2.959e-08,9.123e-07
_0805_,1.1,3.332e-07,0.000e+00,1.949e-08,3.527e-07
_0806_,1.1,2.912e-07,0.000e+00,2.116e-08,3.124e-07
_0807_,1.1,3.845e-07,0.000e+00,2.031e-08,4.048e-07
_0808_,1.1,1.319e-07,0.000e+00,2.072e-08,1.527e-07
_0809_,1.1,6.402e-07,0.000e+00,4.414e-08,6.843e-07
_0810_,1.1,3.210e-08,0.000e+00,4.171e-09,3.627e-08
_0811_,1.1,2.400e-07,0.000e+00,3.696e-08,2.769e-07
_0812_,1.1,1.319e-07,0.000e+00,2.072e-08,1.527e-07
_0813_,1.1,2.400e-07,0.000e+00,3.696e-08,2.769e-07
_0814_,1.1,4.827e-07,0.000e+00,2.172e-08,5.044e-07
_0815_,1.1,5.994e-07,0.000e+00,3.027e-08,6.296e-07
_0816_,1.1,1.239e-06,0.000e+00,3.903e-08,1.278e-06
_0817_,1.1,4.551e-07,0.000e+00,3.260e-08,4.877e-07
_0818_,1.1,7.073e-08,0.000e+00,1.116e-08,8.190e-08
_0819_,1.1,3.246e-07,0.000e+00,1.966e-08,3.442e-07
_0820_,1.1,2.867e-07,0.000e+00,2.416e-08,3.108e-07
_0821_,1.1,7.145e-07,0.000e+00,2.742e-08,7.419e-07
_0822_,1.1,7.099e-08,0.000e+00,1.116e-08,8.215e-08
_0823_,1.1,6.733e-07,0.000e+00,3.369e-08,7.070e-07
_0824_,1.1,5.781e-09,0.000e+00,1.014e-08,1.592e-08
_0825_,1.1,2.642e-07,0.000e+00,3.382e-08,2.980e-07
_0826_,1.1,6.186e-08,0.000e+00,1.063e-08,7.249e-08
_0827_,1.1,4.255e-07,0.000e+00,2.240e-08,4.479e-07
_0828_,1.1,8.239e-09,0.000e+00,8.254e-09,1.649e-08
_0829_,1.1,2.932e-07,0.000e+00,2.268e-08,3.159e-07
_0830_,1.1,5.253e-08,0.000e+00,1.059e-08,6.312e-08
_0831_,1.1,5.711e-07,0.000e+00,3.955e-08,6.106e-07
_0832_,1.1,9.469e-07,0.000e+00,4.846e-08,9.954e-07
_0833_,1.1,4.824e-08,0.000e+00,2.361e-08,7.185e-08
_0834_,1.1,4.824e-08,0.000e+00,2.361e-08,7.185e-08
_0835_,1.1,4.824e-08,0.000e+00,2.361e-08,7.185e-08
